"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","RE","Reimbursements","(8 025 000)","0","4 830,6","4 830,6"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","PS","Personnel Services","13 603 253","0","6 139 059,49","6 139 059,49"
"2 017","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.52","Utility Management","PS","Personnel Services","136 103","0","65 773,96","65 773,96"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.18","Municipal Judges/Cases Docketed","QV","Contractual & Other Services","205 479","0","189 284,38","189 284,38"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.46","Non-Departmental","QV","Contractual & Other Services","0","0","0","0"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.0199999999999996","City-Owned Cultural Venues","PS","Personnel Services","3 144 315","0","1 454 455,51","1 454 455,51"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.22","Police Community Outreach","QM","Supplies & Materials","12 769","0","12 142,54","12 142,54"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.N","Internal Telephone and Data Communication","PS","Personnel Services","484 393","0","333 536,69","333 536,69"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.47","Payroll","QV","Contractual & Other Services","90 735","0","50 826,86","50 826,86"
"2 017","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.23","Historic Preservation","QM","Supplies & Materials","10 488","0","134,47","134,47"
"2 017","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.5","Records Management","PS","Personnel Services","273 967","0","139 657,72","139 657,72"
"2 017","GNFD","General Fund","0001HOU","Housing GF","5.37","Housing Management/Contract Support","PS","Personnel Services","877 685","0","340 713,08","340 713,08"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","9.99","Department Support","QM","Supplies & Materials","2 450","0","2 601,12","2 601,12"
"2 017","GNFD","General Fund","0001CRO","Mgmt Services - Resiliency Office","2.37","Resiliency Office","QV","Contractual & Other Services","6 778","0","2 691,24","2 691,24"
"2 017","GNFD","General Fund","0001CVS","Civil Service GF","5.33","Fire Applicant - Physical Abilities Testing","PS","Personnel Services","92 161","0","45 240,15","45 240,15"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.06","Capital Construction and Debt Service","TR","Transfers Out","19 801 260","0","7 244 720,63","7 244 720,63"
"2 016","GNFD","General Fund","0001OFS","Non-Departmental","5.35","General Obligation Commercial Paper and Master Lease Program","QM","Supplies & Materials","0","0","2 693,77","2 693,77"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.25","DFW International Airport Legal Counsel","PS","Personnel Services","566 591","0","282 348,07","282 348,07"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","RE","Reimbursements","(12 232 931)","0","(205 157,56)","(205 157,56)"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.18","Municipal Judges/Cases Docketed","QM","Supplies & Materials","14 975","0","967,58","967,58"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","1.28","Police Legal Liaison","QM","Supplies & Materials","1 900","0","1 772,74","1 772,74"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.19","Citywide Capital and Operating Budget Dev and Monitoring","QM","Supplies & Materials","4 371","0","388,98","388,98"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.07","Community Prosecution & Community Courts","PS","Personnel Services","1 657 897","0","777 946,98","777 946,98"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.01","Adjudication Office","PS","Personnel Services","431 079","0","177 668,06","177 668,06"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.52","Water Capital Funding","TR","Transfers Out","266 872 977","0","104 603 221,01","104 603 221,01"
"2 017","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","PS","Personnel Services","421 764","0","115 023,67","115 023,67"
"2 017","GNFD","General Fund","0001CVS","Civil Service GF","5.2","Civil Service Board Administration/Employee Appeals Process","QM","Supplies & Materials","5 397","0","10 788,6","10 788,6"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.07","Community Prosecution & Community Courts","QV","Contractual & Other Services","241 769","0","192 080,77","192 080,77"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.23","Police Criminal Investigations","PS","Personnel Services","56 361 041","0","26 677 190,35","26 677 190,35"
"2 017","GNFD","General Fund","0001CMO","City Manager's Office GF","5.14","City Administration","PS","Personnel Services","2 436 946","0","1 505 172,47","1 505 172,47"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","PS","Personnel Services","7 540 887","0","2 482 048,22","2 482 048,22"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","QM","Supplies & Materials","5 911 083","0","5 317 359,72","5 317 359,72"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1200000000000001","Fire Training and Recruitment","PS","Personnel Services","11 358 307","0","3 188 872,12","3 188 872,12"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","9.99","Department Support","PS","Personnel Services","916 461","0","372 703,29","372 703,29"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","9.99","Department Support","RE","Reimbursements","(612 741)","0","(625 180)","(625 180)"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.02","Ambient Air Monitoring","PS","Personnel Services","829 880","0","885 164,73","885 164,73"
"2 017","OTHO","Other Operating Fund","0278PER","Employee Benefits Administration","5.J","HR Benefits Administration Services","PS","Personnel Services","618 375","0","297 387,37","297 387,37"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.01","Adjudication Office","QM","Supplies & Materials","9 550","0","3 397,58","3 397,58"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","9.99","Department Support","PS","Personnel Services","725 578","0","408 771,44","408 771,44"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.C","Business Technology Services","RC","Capital Outlay","0","0","67 000","67 000"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.0900000000000001","Fire and Rescue Emergency Response","PS","Personnel Services","176 666 599","0","79 301 172,62","79 301 172,62"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","5.38","HRIS and HR Payroll Services","PS","Personnel Services","1 208 438","0","498 416,75","498 416,75"
"2 017","GNFD","General Fund","0001CVS","Civil Service GF","5.2","Civil Service Board Administration/Employee Appeals Process","PS","Personnel Services","370 352","0","122 433,76","122 433,76"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","PS","Personnel Services","1 286 645","0","443 326,4","443 326,4"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1100000000000001","Fire Investigation & Explosive Ordnance Disposal","RE","Reimbursements","0","0","(734,42)","(734,42)"
"2 017","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.2799999999999998","Neighborhood Vitality","PS","Personnel Services","865 379","0","354 178,65","354 178,65"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","5.39","Human Resource Consulting","PS","Personnel Services","2 068 013","0","911 339,11","911 339,11"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.54","Water Utilities Capital Program Management","RE","Reimbursements","(250 000)","0","(242 050)","(242 050)"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","PS","Personnel Services","4 337 124","0","1 693 683,5","1 693 683,5"
"2 017","GNFD","General Fund","0001ICT","Mgmt Services - Internal Control Task Force","5.42","Internal Control Task Force","QV","Contractual & Other Services","15 780","0","5 544,52","5 544,52"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.5499999999999998","Zoning & Board of Adjustment","QM","Supplies & Materials","33 602","0","15 669,07","15 669,07"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","RE","Reimbursements","(3 553 666)","0","(1 172 639,44)","(1 172 639,44)"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","9.99","Department Support","PS","Personnel Services","180 068","0","149 516","149 516"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.01","Aquatic Services","PS","Personnel Services","1 826 313","0","453 282,87","453 282,87"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.18","City GIS Services","PS","Personnel Services","856 227","0","410 632,38","410 632,38"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.18","Municipal Judges/Cases Docketed","PS","Personnel Services","1 863 626","0","988 272,7","988 272,7"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.52","Water Capital Funding","TR","Transfers Out","268 152 526","0","247 560 120,24","247 560 120,24"
"2 017","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","PS","Personnel Services","199 813","0","57 695,96","57 695,96"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","2.1800000000000002","Fire Inspection for New Construction","PS","Personnel Services","1 546 972","0","913 315,28","913 315,28"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.29","Office of Special Events","PS","Personnel Services","492 467","0","107 672,01","107 672,01"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.12","Cash and Debt Management","PS","Personnel Services","549 057","0","220 800,7","220 800,7"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1299999999999999","Fire-Rescue Equipment Maintenance and Supply","QV","Contractual & Other Services","1 825 525","0","1 360 028,78","1 360 028,78"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.M","Internal Radio Communication","QV","Contractual & Other Services","0","0","0","0"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.13","Environ Enforcement, Compliance, and Support (Legal Service)","QM","Supplies & Materials","2 251","0","1 772,74","1 772,74"
"2 017","OTHO","Other Operating Fund","0286PER","Wellness Program Fund","5.R","Wellness Program","PS","Personnel Services","321 020","0","72 155,91","72 155,91"
"2 017","GNFD","General Fund","0001AGE","Mgmt Services - Council Agenda","5.15","City Agenda Process","QV","Contractual & Other Services","10 317","0","5 079,34","5 079,34"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","RE","Reimbursements","(276 000)","0","(181 431,79)","(181 431,79)"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","2.0699999999999998","Capital Facilities","PS","Personnel Services","1 789 870","0","737 851,1","737 851,1"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.25","Police Intelligence","PS","Personnel Services","7 895 834","0","3 878 897,41","3 878 897,41"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.0999999999999996","Planning, Design, Construction & EMS and Environ Compliance","QM","Supplies & Materials","18 897","0","8 470,05","8 470,05"
"2 017","GNFD","General Fund","0001CVS","Civil Service GF","5.33","Fire Applicant - Physical Abilities Testing","QM","Supplies & Materials","125","0","133,66","133,66"
"2 017","GNFD","General Fund","0001TWM","Trinity Watershed Management GF","2.4900000000000002","Trinity River Corridor Operations","PS","Personnel Services","919 243","0","170 344,27","170 344,27"
"2 017","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.35","Real Estate and Relocation","QM","Supplies & Materials","15 782","0","13 068,06","13 068,06"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.3","Police Recruiting and Personnel Service","PS","Personnel Services","6 749 532","0","3 383 778,79","3 383 778,79"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.06","Code Litigation","QM","Supplies & Materials","2 650","0","19 656,59","19 656,59"
"2 017","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.07","Archives","PS","Personnel Services","163 789","0","79 043,62","79 043,62"
